BRTH_YR,GNDR,ETHCTY,NM,CNT,RNK
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,WHITE,ESTHER,224,1
2011,FEMALE,ASIAN,SOPHIA,119,1
2011,FEMALE,BLACK ,MADISON,176,1
2011,FEMALE,HISPANIC,MIA,229,2
2011,FEMALE,WHITE,EMMA,213,2
2011,FEMALE,WHITE,OLIVIA,213,2
2011,FEMALE,ASIAN,CHLOE,106,2
2011,FEMALE,BLACK ,LONDON,92,2
2011,FEMALE,HISPANIC,SOPHIA,223,3
2011,FEMALE,WHITE,LEAH,183,3
2011,FEMALE,ASIAN,EMILY,93,3
2011,FEMALE,BLACK ,KAYLA,78,3
2011,FEMALE,WHITE,SOPHIA,180,4
2011,FEMALE,ASIAN,OLIVIA,89,4
2011,FEMALE,BLACK ,CHLOE,72,4
2011,FEMALE,HISPANIC,ASHLEY,190,4
2011,FEMALE,WHITE,CHAYA,178,5
2011,FEMALE,ASIAN,EMMA,75,5
2011,FEMALE,BLACK ,AALIYAH,69,5
2011,FEMALE,HISPANIC,CAMILA,188,5
2011,FEMALE,HISPANIC,SOFIA,165,6
2011,FEMALE,WHITE,SARAH,177,6
2011,FEMALE,ASIAN,ISABELLA,67,6
2011,FEMALE,BLACK ,MAKAYLA,67,6
2011,FEMALE,WHITE,RACHEL,171,7
2011,FEMALE,ASIAN,TIFFANY,54,7
2011,FEMALE,BLACK ,NEVAEH,60,7
2011,FEMALE,HISPANIC,EMILY,162,7
2011,FEMALE,HISPANIC,HAILEY,126,8
2011,FEMALE,WHITE,AVA,162,8
2011,FEMALE,ASIAN,ASHLEY,52,8
2011,FEMALE,BLACK ,GABRIELLE,55,8
2011,FEMALE,HISPANIC,LEAH,123,9
2011,FEMALE,WHITE,ISABELLA,160,9
2011,FEMALE,ASIAN,FIONA,48,9
2011,FEMALE,BLACK ,TAYLOR,53,9
2011,FEMALE,HISPANIC,MADISON,122,10
2011,FEMALE,WHITE,CHANA,132,10
2011,FEMALE,ASIAN,ANGELA,47,10
2011,FEMALE,BLACK ,JADA,52,10
2011,FEMALE,BLACK ,OLIVIA,52,10
2011,FEMALE,BLACK ,SERENITY,52,10
2011,FEMALE,HISPANIC,VICTORIA,114,11
2011,FEMALE,WHITE,MIRIAM,131,11
2011,FEMALE,ASIAN,VIVIAN,44,11
2011,FEMALE,BLACK ,ABIGAIL,51,11
2011,FEMALE,BLACK ,FATOUMATA,51,11
2011,FEMALE,HISPANIC,BRIANNA,114,11
2011,FEMALE,HISPANIC,EMMA,114,11
2011,FEMALE,HISPANIC,MELANIE,109,12
2011,FEMALE,WHITE,CHARLOTTE,127,12
2011,FEMALE,WHITE,ELLA,127,12
2011,FEMALE,ASIAN,MICHELLE,42,12
2011,FEMALE,BLACK ,FAITH,46,12
2011,FEMALE,HISPANIC,KIMBERLY,103,13
2011,FEMALE,WHITE,SOFIA,122,13
2011,FEMALE,ASIAN,JOANNA,38,13
2011,FEMALE,ASIAN,SARAH,38,13
2011,FEMALE,BLACK ,NYLA,43,13
2011,FEMALE,BLACK ,ZOE,43,13
2011,FEMALE,HISPANIC,SAMANTHA,100,14
2011,FEMALE,WHITE,EMILY,119,14
2011,FEMALE,ASIAN,MIA,36,14
2011,FEMALE,BLACK ,KHLOE,42,14
2011,FEMALE,BLACK ,NYLAH,42,14
2011,FEMALE,BLACK ,SAVANNAH,42,14
2011,FEMALE,WHITE,JULIA,116,15
2011,FEMALE,WHITE,MIA,116,15
2011,FEMALE,ASIAN,IVY,35,15
2011,FEMALE,BLACK ,AVA,40,15
2011,FEMALE,BLACK ,SARAH,40,15
2011,FEMALE,HISPANIC,GENESIS,94,15
2011,FEMALE,WHITE,RIVKA,113,16
2011,FEMALE,ASIAN,GRACE,33,16
2011,FEMALE,ASIAN,NICOLE,33,16
2011,FEMALE,BLACK ,LAILA,39,16
2011,FEMALE,BLACK ,LEAH,39,16
2011,FEMALE,HISPANIC,ALLISON,90,16
2011,FEMALE,WHITE,ALEXANDRA,109,17
2011,FEMALE,ASIAN,VICKY,32,17
2011,FEMALE,BLACK ,ARIANNA,38,17
2011,FEMALE,BLACK ,BRIANNA,38,17
2011,FEMALE,BLACK ,JAYLA,38,17
2011,FEMALE,BLACK ,NIA,38,17
2011,FEMALE,HISPANIC,AMY,87,17
2011,FEMALE,HISPANIC,OLIVIA,86,18
2011,FEMALE,WHITE,SARA,107,18
2011,FEMALE,ASIAN,JASMINE,31,18
2011,FEMALE,BLACK ,CHELSEA,37,18
2011,FEMALE,HISPANIC,GABRIELLA,86,18
2011,FEMALE,HISPANIC,VALENTINA,85,19
2011,FEMALE,WHITE,ABIGAIL,103,19
2011,FEMALE,ASIAN,ANNA,30,19
2011,FEMALE,BLACK ,MIA,36,19
2011,FEMALE,BLACK ,VICTORIA,36,19
2011,FEMALE,HISPANIC,KAYLEE,83,20
2011,FEMALE,WHITE,GABRIELLA,102,20
2011,FEMALE,ASIAN,ELAINE,28,20
2011,FEMALE,BLACK ,ALYSSA,35,20
2011,FEMALE,BLACK ,ANIYAH,35,20
2011,FEMALE,BLACK ,BRIELLE,35,20
2011,FEMALE,BLACK ,DESTINY,35,20
2011,FEMALE,BLACK ,ISABELLA,35,20
2011,FEMALE,WHITE,ELIZABETH,100,21
2011,FEMALE,ASIAN,ALICE,27,21
2011,FEMALE,ASIAN,CATHERINE,27,21
2011,FEMALE,ASIAN,CLAIRE,27,21
2011,FEMALE,ASIAN,JENNY,27,21
2011,FEMALE,ASIAN,MAYA,27,21
2011,FEMALE,BLACK ,NAOMI,34,21
2011,FEMALE,HISPANIC,ABIGAIL,80,21
2011,FEMALE,WHITE,CHLOE,95,22
2011,FEMALE,ASIAN,ALYSSA,26,22
2011,FEMALE,ASIAN,ANGELINA,26,22
2011,FEMALE,ASIAN,IRIS,26,22
2011,FEMALE,ASIAN,JESSICA,26,22
2011,FEMALE,ASIAN,SELINA,26,22
2011,FEMALE,ASIAN,TENZIN,26,22
2011,FEMALE,BLACK ,PAIGE,33,22
2011,FEMALE,HISPANIC,GABRIELA,78,22
2011,FEMALE,WHITE,MAYA,94,23
2011,FEMALE,ASIAN,ALINA,25,23
2011,FEMALE,ASIAN,ELLA,25,23
2011,FEMALE,ASIAN,SOPHIE,25,23
2011,FEMALE,ASIAN,WINNIE,25,23
2011,FEMALE,ASIAN,ZOE,25,23
2011,FEMALE,BLACK ,AMAYA,32,23
2011,FEMALE,BLACK ,ARIEL,32,23
2011,FEMALE,BLACK ,HEAVEN,32,23
2011,FEMALE,BLACK ,JASMINE,32,23
2011,FEMALE,BLACK ,MARIAM,32,23
2011,FEMALE,BLACK ,MYA,32,23
2011,FEMALE,BLACK ,PARIS,32,23
2011,FEMALE,HISPANIC,ARIANNA,77,23
2011,FEMALE,WHITE,GRACE,93,24
2011,FEMALE,ASIAN,ABIGAIL,24,24
2011,FEMALE,ASIAN,AMY,24,24
2011,FEMALE,ASIAN,FATIMA,24,24
2011,FEMALE,ASIAN,JULIA,24,24
2011,FEMALE,ASIAN,SARA,24,24
2011,FEMALE,BLACK ,HAILEY,31,24
2011,FEMALE,BLACK ,MORGAN,31,24
2011,FEMALE,HISPANIC,ANGELINA,72,24
2011,FEMALE,HISPANIC,NICOLE,71,25
2011,FEMALE,WHITE,ANNA,85,25
2011,FEMALE,ASIAN,AVA,23,25
2011,FEMALE,ASIAN,HANNAH,23,25
2011,FEMALE,ASIAN,SABRINA,23,25
2011,FEMALE,ASIAN,ZAINAB,23,25
2011,FEMALE,BLACK ,EMILY,30,25
2011,FEMALE,BLACK ,LAYLA,30,25
2011,FEMALE,BLACK ,SOPHIA,30,25
2011,FEMALE,WHITE,VICTORIA,84,26
2011,FEMALE,ASIAN,AMANDA,22,26
2011,FEMALE,ASIAN,ANGEL,22,26
2011,FEMALE,ASIAN,EVA,22,26
2011,FEMALE,ASIAN,JOYCE,22,26
2011,FEMALE,ASIAN,KAREN,22,26
2011,FEMALE,ASIAN,KELLY,22,26
2011,FEMALE,ASIAN,SAMANTHA,22,26
2011,FEMALE,ASIAN,STEPHANIE,22,26
2011,FEMALE,ASIAN,VICTORIA,22,26
2011,FEMALE,BLACK ,ZOEY,29,26
2011,FEMALE,HISPANIC,BELLA,67,26
2011,FEMALE,HISPANIC,LESLIE,66,27
2011,FEMALE,WHITE,GITTY,82,27
2011,FEMALE,ASIAN,KATHERINE,21,27
2011,FEMALE,ASIAN,KAYLA,21,27
2011,FEMALE,ASIAN,NINA,21,27
2011,FEMALE,BLACK ,IMANI,28,27
2011,FEMALE,BLACK ,MILAN,28,27
