pattern,black,white,amInd,asian,hispanic
abdel/an,0.1731,0.5833,0.0,0.0,0.0353
abdel/la,0.1528,0.7604,0.0,0.0,0.0139
abdel/man,0.1731,0.5833,0.0,0.0,0.0353
abdul/an,0.4088,0.3455,0.0,0.0925,0.0
abdul/i,0.7748,0.0373,0.0,0.0,0.0
abdul/la,0.0934,0.4279,0.0,0.1301,0.0445
abdul/man,0.4088,0.3455,0.0,0.0925,0.0
abu/ez,0.0,0.0,0.0,0.0,0.9811
abu/is,0.0,0.0678,0.0,0.0,0.926
abu/o,0.0043,0.0264,0.0,0.0,0.9656
al/ach,0.0,0.972615544041,0.00520725388601,0.0,0.0111279792746
al/an,0.0333310702397,0.629741641264,0.00424137469229,0.0166040738237,0.303192474778
al/and,0.00309579745091,0.95764347227,0.00549958663452,0.0,0.0251479503961
al/ano,0.00109228797266,0.510400106815,0.00119461653493,0.0512999145482,0.426689297159
al/ard,0.0136185492602,0.929731477806,0.0183834987369,0.00514040959942,0.0147029953086
al/ba,0.00427277099163,0.161532634414,0.00170910839665,0.054550302972,0.76909587381
al/berg,0.0093,0.9702,0.0,0.0,0.0
al/bert,0.1239,0.8036,0.0144,0.0112,0.0313
al/brook,0.152974841972,0.789494627054,0.0,0.0,0.0196329329962
al/burg,0.0,0.9622,0.0,0.008,0.0149
al/ema,0.0,0.9418,0.0,0.0,0.0304
al/er,0.277736120189,0.636134629442,0.0063296132744,0.00863490377008,0.051871674951
al/ers,0.00887250437828,0.901813735301,0.00453062296723,0.00373577683262,0.0677336335585
al/ese,0.0,0.965,0.0,0.0059,0.0183
al/ez,0.00626837183624,0.0659462393498,0.00470246896717,0.0114773046255,0.906828221239
al/ford,0.2962,0.6604,0.0073,0.0043,0.0175
al/gren,0.0,0.9857,0.0,0.0,0.0
al/han,0.0,0.0934,0.0,0.7027,0.0516
al/i,0.152121132768,0.406889595315,0.0043041377502,0.279435921685,0.0328175281881
al/ia,0.0155856165555,0.217927330255,0.00324025996237,0.0189785873097,0.731820779887
al/ich,0.0196,0.9376,0.0083,0.0067,0.0157
al/ier,0.0,0.968622417399,0.0,0.0033400250941,0.0133849017148
al/in,0.0690464560581,0.747841457158,0.00426661291505,0.0126162354321,0.147913530748
al/ing,0.0069,0.9523,0.0061,0.0087,0.0104
al/is,0.218309073304,0.308745030472,0.00806038047502,0.00524158455317,0.432136378652
al/la,0.00595802666296,0.0834393209276,0.00218518261353,0.0202205110401,0.881294993751
al/li,0.215440928039,0.170106544735,0.00641493929446,0.403135558335,0.0299434865301
al/lin,0.0421,0.9158,0.0,0.0,0.0211
al/los,0.0,0.9395,0.0,0.0,0.0151
al/man,0.0289398322021,0.675558909314,0.00379219703653,0.00395784527303,0.277715328664
al/mand,0.00454812753036,0.944856629555,0.00807960526316,0.0,0.0323950404858
al/mann,0.0047,0.9756,0.0,0.0047,0.0103
al/ny,0.159907514451,0.41618265896,0.0279312138728,0.00673063583815,0.380521965318
al/o,0.00625658520714,0.162691751013,0.00295581971033,0.0314035025546,0.788943375221
al/off,0.0029,0.9689,0.0025,0.0057,0.0151
al/ok,0.152974841972,0.789494627054,0.0,0.0,0.0196329329962
al/on,0.246770089438,0.615590065274,0.00739278945889,0.00706411674861,0.107935868054
al/quist,0.0024,0.9584,0.0049,0.0049,0.0162
al/ridge,0.151601732158,0.810713533868,0.0056938820715,0.00314145217738,0.0133511717539
al/sen,0.0,0.963,0.0,0.0,0.0
al/son,0.0981662587125,0.856844981066,0.0106988996213,0.00470111135503,0.0142387465013
al/us,0.0112461210831,0.947975722543,0.0,0.00819878308488,0.0109580468512
al/wood,0.205252620087,0.73800709607,0.0,0.0,0.00545796943231
al/worth,0.109,0.8376,0.0,0.0,0.0173
al/za,0.003,0.0457,0.0023,0.0036,0.9423
ap/an,0.0,0.9659,0.0061,0.0,0.0129
ap/ard,0.0,0.9881,0.0,0.0,0.0
ap/baum,0.0,0.970052063915,0.0,0.00368408788282,0.0123319241012
ap/by,0.0625,0.9018,0.0027,0.006,0.0172
ap/ell,0.0,0.965,0.0,0.0,0.0179
ap/er,0.0,0.9583,0.0,0.0,0.033
ap/garth,0.0,0.97,0.0081,0.0,0.0104
ap/gate,0.0095,0.9474,0.0083,0.0042,0.0165
ap/in,0.138301352054,0.812253458138,0.00833114924597,0.00465886635465,0.0202554342174
ap/la,0.0,0.9614,0.0,0.0,0.0268
ap/lin,0.138301352054,0.812253458138,0.00833114924597,0.00465886635465,0.0202554342174
ap/man,0.0,0.9659,0.0061,0.0,0.0129
ap/o,0.00704431365103,0.136542851718,0.043104746535,0.026326419214,0.771862303019
ap/on,0.0973779930707,0.859329000385,0.00897389965354,0.00368601308867,0.0163090850764
ap/son,0.0339,0.9226,0.0058,0.0041,0.019
ap/white,0.5861,0.3736,0.0024,0.0033,0.0178
bar/ak,0.0,0.953425733281,0.0,0.00233899100508,0.013276300352
bar/an,0.00252316909847,0.432347906534,0.00236647987594,0.00746114048072,0.546060291112
bar/ard,0.0448585805085,0.906336539044,0.0057268311138,0.00490853510896,0.0244533633475
bar/arz,0.0,0.9269,0.0,0.0,0.048
bar/au,0.0182871848739,0.94176452581,0.0021287214886,0.00477524009604,0.0128884753902
bar/ba,0.0057,0.2433,0.0022,0.0387,0.7033
bar/by,0.1586,0.7503,0.0428,0.004,0.0232
bar/cki,0.0,0.9886,0.0,0.0,0.0
bar/dale,0.5465,0.4166,0.0032,0.004,0.013
bar/din,0.0138,0.9472,0.0,0.0,0.0214
bar/don,0.0522,0.8681,0.0,0.0,0.0287
bar/eiro,0.0113,0.2414,0.0083,0.0048,0.711
bar/ek,0.0,0.966835317073,0.00455882926829,0.0,0.0123730731707
bar/ell,0.180011871209,0.784492067196,0.00357882407839,0.00339160055996,0.0159471021932
bar/er,0.117637313833,0.838969460374,0.00779357337349,0.0047559501217,0.0161070882668
bar/ero,0.0,0.36788013013,0.0,0.0355512012012,0.583576626627
bar/et,0.139735179576,0.769372090004,0.0125832540026,0.0117133708351,0.0497678061445
bar/ez,0.0289,0.0717,0.0214,0.0,0.878
bar/i,0.00219223605969,0.922970279367,0.000279412094693,0.0211980870638,0.0353329967463
bar/ia,0.00854071211703,0.280137261938,0.00299365166989,0.0436080596191,0.65058288711
bar/iak,0.0,0.9894,0.0,0.0,0.0063
bar/ich,0.0,0.9543,0.0,0.0,0.0201
bar/ier,0.0912045149754,0.862779526151,0.00357586052749,0.0,0.0272510505141
bar/ik,0.0,0.979564906303,0.0,0.0,0.0068066439523
bar/in,0.0607912918316,0.897438215185,0.00179201151493,0.00432472112271,0.0205366678661
bar/ing,0.0,0.9412,0.0,0.0088,0.0318
bar/is,0.112886624204,0.781698089172,0.0,0.0173643312102,0.0648420382166
bar/jas,0.0017,0.0328,0.0018,0.0017,0.9597
bar/kin,0.1088,0.8702,0.0,0.0,0.0134
bar/ko,0.0,0.9811,0.0,0.0,0.013
bar/kus,0.108646766169,0.859868988391,0.0,0.0,0.00910812603648
bar/la,0.00235570736554,0.233911327785,0.00915136007949,0.0074571109179,0.734835647746
bar/li,0.0051,0.9403,0.0,0.0061,0.0314
bar/los,0.0,0.836447091109,0.0,0.0197998902305,0.0559788144896
bar/man,0.00518720090293,0.941107200903,0.00788993227991,0.0216924379233,0.0110763656885
bar/mann,0.0,0.9772,0.0,0.0,0.0
bar/nes,0.2823,0.6745,0.0072,0.004,0.0149
bar/nik,0.0,0.9858,0.0,0.0,0.0
bar/ny,0.0,0.949,0.0,0.0,0.0232
bar/o,0.0141034541691,0.518056152513,0.00107639129598,0.0229398926439,0.427150481417
bar/ok,0.0,0.9471,0.0091,0.0,0.0166
bar/on,0.0782595215712,0.754536922896,0.00898210261909,0.00601331213185,0.139150063898
bar/ot,0.0048666040218,0.879716500658,0.0182384326254,0.0708327945875,0.00976658522834
bar/ow,0.150274120161,0.803734459804,0.0090403562851,0.0039830443087,0.0170109608729
bar/ros,0.0594870763929,0.395926076967,0.00662960941987,0.0258354394026,0.337302527283
bar/ski,0.0,0.97584540012,0.0,0.00158002394732,0.012767970465
