suffix,occurences,amInd,asian,black,hispanic,white
skas,1399,0,0.967106219,0,0,0.011403145
sson,101190,0.055098279,0.898359123,0.006066361,0.005390789,0.016831387
ros,147293,0.008837685,0.286182351,0.002406719,0.023693066,0.649758514
eros,86146,0.002108958,0.060620075,0.002914114,0.019102051,0.909182535
ots,12828,0.103451232,0.857953773,0.008200912,0.003120268,0.013419083
ell,3805463,0.174860472,0.780826424,0.006969884,0.004123924,0.017113726
la,1001727,0.006669189,0.327602469,0.003954684,0.033372633,0.61644228
ment,41204,0.091816773,0.854355206,0.009851495,0.005003706,0.018909863
ier,704434,0.138417232,0.802893073,0.00820873,0.007937626,0.025365002
brook,68286,0.10703809,0.854738066,0.005641108,0.003767699,0.013896912
ese,208062,0.106825239,0.821354946,0.006420869,0.029246153,0.021305155
li,321566,0.029162974,0.639807327,0.00143729,0.236283977,0.057359336
wright,481792,0.267623344,0.688874422,0.006559745,0.003934585,0.015175785
cotte,12368,0.001073197,0.944776755,0.018654398,0.003251237,0.011221822
aitis,1219,0,0.973724282,0,0.004121001,0.004945201
ok,470518,0.100650773,0.831142008,0.007321197,0.031744122,0.01363288
ski,713567,0.000989311,0.970744068,0.001108931,0.002885363,0.011489214
worth,220455,0.104227785,0.85596054,0.005709727,0.003516118,0.016355765
yk,31581,0.000566689,0.971848365,0.000567202,0.002103537,0.011368601
stein,213222,0.004524239,0.961182001,0.001317477,0.005380208,0.015588346
dal,22579,0.063933053,0.29590291,0.002199712,0.065972842,0.548605882
eiro,20188,0.046228522,0.632964632,0.003362819,0.021702036,0.15182125
stos,13651,0.001271804,0.139609589,0.002543609,0.039880148,0.804951835
za,729376,0.004856384,0.167979222,0.003285902,0.027493094,0.784785818
ius,42166,0.126335337,0.820306233,0.015188168,0.004921745,0.016172264
din,128696,0.090457487,0.798856953,0.013363242,0.016788916,0.061147775
ema,20375,0.006384128,0.837344991,0.001080133,0.061983548,0.070520633
awan,2683,0.009691018,0.264245732,0.002243757,0.613109728,0.01601722
tras,5931,0.00218867,0.962755825,0.005570595,0.008097521,0.008752841
shi,38599,0.00155682,0.069324324,0.000821778,0.844249014,0.013741317
us,450388,0.087523322,0.750575471,0.005323902,0.014033861,0.124653377
oui,399,0.0175,0.1729,0,0.6942,0.0476
ek,284078,0.016135798,0.933800127,0.002414663,0.01819051,0.013511368
haar,7826,0.002177805,0.966279875,0.001783082,0.005641835,0.01466127
arz,26951,0.00110774,0.9689327,0.000583021,0.003172669,0.01587894
stern,27151,0.020310235,0.943779275,0.001813414,0.005478719,0.014514574
ouf,1317,0,0.897511314,0.006052012,0.003810934,0.025800759
ec,31938,0.000405113,0.966769669,0.001472074,0.001161886,0.016163169
enko,7420,0.000663019,0.95079469,0.00094717,0.003636119,0.007290485
ard,2002654,0.180400158,0.771259011,0.007549102,0.004265408,0.020021443
dzki,1248,0,0.9671,0,0,0.0192
ez,7609317,0.005161643,0.056766846,0.004260421,0.010325939,0.918764006
eu,49481,0.034308963,0.559016663,0.010845626,0.151226075,0.224992377
et,229787,0.106381351,0.817628628,0.007144101,0.005086923,0.045733573
ev,1539,0,0.413228395,0,0.529538142,0.00780039
chek,413,0,0.9758,0,0,0.0145
er,20866659,0.114807014,0.842465921,0.00595423,0.005456011,0.01662458
nen,48462,0.034935661,0.915522535,0.003712971,0.015181222,0.012993537
ich,311119,0.022783393,0.939219377,0.0033508,0.004966835,0.015776949
wicz,29021,0.000414731,0.969571235,0.001035784,0.002104903,0.012751949
