bietenholz,(0, (0.780952380952381, 'benitez'), [3.2901763916015625e-05, 0.016062021255493164, 5.602836608886719e-05]),(0, (0.8111111111111112, 'beitel'), [0, 0.028367996215820312, 0])
kurapathi,(0, (0.7518518518518519, 'kraut'), [1.9788742065429688e-05, 0.005482196807861328, 4.696846008300781e-05]),(0, (0.8518518518518517, 'kurth'), [0, 0.028576135635375977, 0])
nehoray,(0, (0.8214285714285715, 'neyhart'), [1.5020370483398438e-05, 0.006483793258666992, 4.100799560546875e-05]),(0, (0.8571428571428571, 'hora'), [0, 0.026254892349243164, 0])
abgar,(1, (0.9333333333333332, 'agar'), [1.0967254638671875e-05, 0.0032379627227783203, 3.695487976074219e-05]),(1, (0.9333333333333332, 'agar'), [0, 0.021384000778198242, 0])
plinko,(0, (0.888888888888889, 'polino'), [1.0013580322265625e-05, 0.00492095947265625, 3.504753112792969e-05]),(0, (0.888888888888889, 'polino'), [0, 0.02271103858947754, 0])
thegley,(0, (0.8492063492063492, 'tetley'), [1.0013580322265625e-05, 0.007642984390258789, 6.604194641113281e-05]),(1, (0.9047619047619048, 'egley'), [0, 0.027729034423828125, 0])
barteld,(1, (0.9047619047619048, 'bartold'), [2.6941299438476562e-05, 0.027357101440429688, 4.696846008300781e-05]),(1, (0.9523809523809524, 'bartel'), [0, 0.02556610107421875, 0])
benrezouk,(0, (0.7296296296296295, 'denzer'), [1.6927719116210938e-05, 0.0019719600677490234, 5.3882598876953125e-05]),(0, (0.8148148148148149, 'bene'), [0, 0.03016519546508789, 0])
silzia,(0, (0.888888888888889, 'silvia'), [1.4781951904296875e-05, 0.00452113151550293, 4.1961669921875e-05]),(0, (0.888888888888889, 'silvia'), [0, 0.028955936431884766, 0])
deleon olufemi,(0, (0.6634920634920636, 'demelo'), [1.5020370483398438e-05, 0.015028953552246094, 5.412101745605469e-05]),(0, (0.8095238095238096, 'deleon'), [0, 0.03295779228210449, 0])
graveney,(1, (0.9107142857142857, 'greaney'), [1.71661376953125e-05, 0.008913040161132812, 4.220008850097656e-05]),(1, (0.9166666666666666, 'graven'), [0, 0.031195878982543945, 0])
ilyon,(0, (0.8666666666666667, 'lyn'), [1.1920928955078125e-05, 0.005292177200317383, 3.886222839355469e-05]),(1, (0.9333333333333332, 'lyon'), [0, 0.02458500862121582, 0])
rajarathnam,(0, (0.7678872053872053, 'jayaraman'), [1.4066696166992188e-05, 0.01503610610961914, 6.008148193359375e-05]),(0, (0.787878787878788, 'raja'), [0, 0.030179977416992188, 0])
schmorak,(0, (0.8690476190476191, 'schrank'), [1.8835067749023438e-05, 0.005629062652587891, 4.506111145019531e-05]),(1, (0.9166666666666666, 'schork'), [0, 0.028589963912963867, 0])
zaffino,(1, (1.0, 'zaffino'), [1.3828277587890625e-05, 0.0008461475372314453, 4.410743713378906e-05]),(1, (1.0, 'zaffino'), [0, 0.02750396728515625, 0])
elambilan,(0, (0.8306878306878307, 'alleman'), [1.4066696166992188e-05, 0.010139942169189453, 4.100799560546875e-05]),(0, (0.8888888888888888, 'elamin'), [0, 0.027977943420410156, 0])
honavar,(1, (0.9047619047619048, 'navar'), [1.3113021850585938e-05, 0.01878190040588379, 5.1975250244140625e-05]),(1, (0.9047619047619048, 'navar'), [0, 0.0278170108795166, 0])
rigney-betz,(0, (0.6897546897546897, 'negrete'), [1.7881393432617188e-05, 0.008871078491210938, 3.981590270996094e-05]),(0, (0.8484848484848485, 'rigney'), [0, 0.029202938079833984, 0])
silot,(1, (0.9047619047619048, 'silcott'), [1.0967254638671875e-05, 0.004082918167114258, 3.814697265625e-05]),(1, (0.9047619047619048, 'silcott'), [0, 0.02157282829284668, 0])
davemore,(1, (0.9166666666666666, 'demore'), [1.1920928955078125e-05, 0.028014183044433594, 5.5789947509765625e-05]),(1, (0.9166666666666666, 'demore'), [0, 0.029516935348510742, 0])
