Gram,Ethnicity,Occurences
nwu,2,606
ilc,4,102924
scl,4,7905
nwy,4,902
nwe,4,30914
ssw,4,5433
nwa,4,93551
gaf,4,18221
tah,4,32944
nwo,4,37884
nwi,4,20740
zhp,3,455
cwi,4,23030
aub,4,83033
aue,4,149740
aug,4,628500
auf,4,100146
aui,4,1946
auk,4,10177
aum,4,149855
aul,4,460686
aup,4,25473
aus,4,390568
gaa,4,7636
auw,4,1086
auv,4,17939
auy,1,1161
aux,4,98981
xtm,4,543
hdr,4,545
cwa,4,2322
eju,4,581
fur,4,59103
cmo,4,3470
upo,4,19341
fho,4,605
fhi,4,827
upk,4,3047
uph,4,6885
upi,4,19719
fhe,4,513
cwe,4,925
cme,4,5401
upb,4,804
upc,4,9736
cma,4,94529
upa,4,13461
zdo,4,837
zdi,4,395
upy,4,485
kuc,4,20398
alz,4,37900
cmu,4,48284
upu,4,11895
zda,4,2666
upp,4,62574
aiv,4,4086
oeg,4,13052
lmy,4,1493
nen,4,74992
nel,4,1036154
nem,4,60159
nej,3,13463
nek,4,40672
neh,4,38064
nei,4,295461
nef,4,38942
nee,4,120233
neb,4,31647
nec,4,45739
kup,4,11516
kuo,1,6570
kun,4,55330
slo,4,117004
nez,3,1127521
kuj,4,4753
kui,4,5143
ney,4,1203534
kug,4,5504
new,4,383781
ruz,3,300597
neu,4,61301
ner,4,2454756
kub,4,28060
nep,4,15977
mee,4,97751
rky,4,1204
mef,4,4733
mea,4,193365
loo,4,153610
mec,4,22508
dyl,4,527
mei,4,119817
mek,4,12578
mej,3,74137
meu,4,9598
met,4,165746
mew,4,17869
mey,4,291302
mex,3,440
oed,4,84121
mez,3,340860
dry,4,90704
gli,4,190662
lol,4,7291
dym,4,2912
wdh,1,5765
wdi,4,1969
akp,2,490
dru,4,106727
gle,4,702746
aku,4,12421
akt,1,4031
akk,4,13835
gly,4,29942
orm,4,317043
ako,4,25245
sjo,4,3963
akm,4,4162
akl,4,39338
wdy,4,19497
apl,4,124463
sja,4,6026
dre,4,402831
glu,4,18693
ake,4,975433
akd,1,438
sso,4,235428
brz,4,4955
bru,4,312119
usa,4,47858
orf,4,42311
ppl,4,89375
tq,4,1001
ajd,4,4201
rix,4,40099
lwr,4,673
dni,4,12742
mwa,4,5361
orc,4,65177
lwh,4,1596
lwi,4,6753
det,4,84849
lwa,4,15391
dny,4,953
lwe,4,37293
ssi,4,226861
nka,4,29313
nkb,4,2579
kgr,4,962
nke,4,314045
iei,4,9129
nkh,4,17748
nkm,4,13172
nko,4,55223
nkr,4,7683
nku,4,2683
riq,3,80224
wma,4,221567
ltv,4,485
ert,4,1847756
xha,4,1896
erw,4,156142
erp,4,23619
erq,4,4022
xhe,4,568
mm,4,1320675
ml,4,149370
mn,4,31434
tny,4,8059
ik,4,345024
erz,4,33126
tne,4,239321
erf,4,113249
erg,4,868266
tna,4,20469
erb,4,203333
mr,4,55231
erl,4,371490
erm,4,699343
tno,4,4980
erh,4,100372
eri,4,539161
erj,1,3948
erk,4,226668
uax,4,5755
yge,4,3762
czy,4,39201
yga,4,8774
ygm,4,612
rii,4,474
uau,3,410
uat,4,2022
ygi,4,1946
uav,4,1356
uai,4,8017
uah,3,448
uak,4,662
uaj,3,11143
czn,4,2198
czo,4,5731
czm,4,5753
dyk,4,51767
cza,4,35752
ic,4,4702517
cze,4,20843
hof,4,285118
hog,4,105190
enb,4,343589
hoe,4,132728
hob,4,87702
hoc,4,70652
enf,4,76768
enh,4,97330
hoo,4,289293
hoj,4,3252
hok,4,13840
hoh,4,11830
hov,4,23728
mpn,4,1220
hot,4,49990
ens,4,1652444
hor,4,709940
enu,4,11433
hop,4,306584
enw,4,69900
eny,4,35817
hoz,3,697
hox,4,2654
iem,4,60331
ovs,4,2224
iub,4,553
lah,4,122736
laj,4,6608
ovy,4,1392
laa,4,12109
lab,4,94545
lax,4,11863
ovg,4,550
ovd,4,612
gph,1,438
iuf,4,1803
lap,4,132609
ovl,4,2259
zha,1,46242
rux,4,1145
fak,4,4407
fah,4,20604
wop,4,9286
pou,4,53918
yqu,4,1749
zeb,4,4333
zec,4,11672
zef,4,427
uwm,4,698
zee,4,13752
zej,4,2835
zek,4,23780
zeh,4,8998
zei,4,28852
xh,4,2464
zel,4,212273
zem,4,40187
zer,4,206951
zes,4,7880
ssf,4,3856
zew,4,29323
wue,4,3720
zez,4,2235
zaj,4,11757
zey,4,9117
wun,4,8330
zak,4,57998
fir,4,16280
fis,4,361822
fip,4,866
uop,4,648
uow,4,880
xl,4,46370
fit,4,301092
fiu,4,1559
uoz,4,941
fix,4,5289
xm,4,3424
iml,4,8110
imn,4,1032
uoc,4,2361
fic,4,25891
hm,4,672111
imr,4,3224
fif,4,10525
uof,4,1095
fid,4,9078
uod,4,497
uok,1,1036
fik,4,9031
uoh,4,2133
uon,1,77134
fil,4,64098
fim,3,1807
rcq,4,472
xf,4,12464
upl,4,6886
zwi,4,8947
zwo,4,1722
zwa,4,7346
zdz,4,522
ssc,4,4897
zwe,4,6502
hc,4,48322
ufm,4,41450
upf,4,1580
lbe,4,374916
upd,4,2923
fee,4,77625
wsm,4,1061
kiy,1,934
mde,4,3600
xr,4,4939
dga,4,12881
xs,4,25908
wge,4,2364
gol,4,263142
rw,4,296035
rp,4,844729
goh,4,6626
smy,4,16921
goj,4,458
goe,4,52811
dsw,4,15218
dst,4,74869
gof,4,43740
wgi,4,2561
dsp,4,6698
zas,3,11691
smo,4,67473
rf,4,230926
dsm,4,17786
dsk,4,4679
dsh,4,43925
dsi,4,4887
rl,4,1476598
rm,4,1724595
sme,4,40532
dse,4,105270
rh,4,404065
dsc,4,3308
ntz,4,182452
adg,4,39255
nts,4,83006
ntw,4,19472
syn,4,1405
ntk,4,1523
ntm,4,1827
dgl,4,7185
ntn,4,10932
ntc,4,1431
aps,4,11348
awh,4,14162
atf,4,40064
atg,4,504
atd,4,998
dgs,4,9908
atn,4,17120
isw,4,26216
isv,4,4545
isu,4,4058
isk,4,64262
atw,4,40884
isi,4,64826
ish,4,654043
atr,4,182409
iad,3,11074
isc,4,239349
xum,2,1063
atz,4,97125
ise,4,349533
aty,4,18695
nhe,4,19653
nha,4,223283
tei,4,337526
nho,4,73122
syt,4,20656
nhi,4,21325
nby,4,13486
mbk,4,1583
rke,4,781366
toz,4,4205
xia,1,2489
xic,3,440
xid,3,843
xil,4,399
euh,4,3921
xin,1,1176
xio,1,28906
toj,3,10954
toh,4,1890
xit,1,664
too,4,63842
toc,4,101610
dth,4,521
tof,4,18008
tog,4,6770
tod,4,93299
toe,4,13166
gya,4,2085
gsp,4,467
gyl,4,1072
gyi,4,2109
nbu,4,77699
iav,4,7081
nzw,4,2479
nzu,3,47398
tsi,4,9542
tez,3,134608
iap,4,3289
nzb,4,416
nza,3,885499
kto,4,13489
nze,4,65960
epw,4,1728
nzk,4,421
kte,4,3990
iar,4,93124
kta,1,3502
nzm,4,2827
nzl,4,6379
raf,4,159304
rsl,4,35529
ryk,4,4654
lbr,4,127149
lbu,4,67429
pyk,4,1596
cyr,4,17211
lby,4,50665
ths,4,24471
rak,4,125567
