pref,amInd,asian,black,hispanic,white,occurences
gu,0.001419274,0.005028301,0.022513579,0.016559574,0.942107854,6392
rol,0.00204,0.004556,0.014276,0.01612,0.951292,7450
ale,0.001,0.004,0.0048,0.9041,0.0825,16379
sca,0,0.00244288,0,0.021872006,0.955504693,2472
sco,0.001980978,0.0039,0.021295514,0.014514334,0.944921878,7423
ge,0.003965586,0.003294242,0.003940172,0.012529649,0.961600529,1511
ga,0.002235309,0.006676202,0.00622215,0.016051352,0.957330871,76136
gn,0,0,0,0,0.9801,403
lla,0,0,0,0.9218,0.0686,1253
gl,0.003047722,0.003526901,0.047664114,0.00906097,0.922750196,7156
sch,0.003760703,0.00359381,0.001357237,0.012859556,0.964876931,16477
ty,0.0298,0.0033,0.0397,0.0083,0.9052,4590
tu,0,0,0.014274251,0.011067204,0.953016951,2171
tr,0.002713497,0.002301248,0.006216034,0.019426831,0.960248576,7372
mcr,0,0,0.0275,0,0.9588,510
vee,0,0.0218,0,0.0091,0.9564,550
bli,0.0087,0.0068,0.0174,0.0146,0.9379,14273
bru,0,0.006879486,0.006253276,0.011492789,0.960158248,3037
te,0,0.003089613,0,0.033793301,0.942799385,1627
far,0.0076,0.0049,0.0038,0.0119,0.9589,4723
fav,0,0,0,0.064,0.9113,406
eis,0,0,0,0,0.9788,471
tri,0,0,0.002743341,0.029302609,0.959265492,2185
dim,0,0.0057,0.0017,0.0235,0.9584,2984
gue,0.002653407,0.004422346,0.002034279,0.010790524,0.97162141,3419
tra,0.004659655,0.003951735,0.009277987,0.016580107,0.957363522,4293
dif,0,0,0,0.0184,0.971,759
dib,0,0,0,0.035,0.954,543
try,0,0,0,0,0.9777,449
dit,0.0082,0,0,0.0233,0.9429,858
oue,0,0,0,0.0161,0.9664,684
ulr,0.0136,0,0,0.017,0.9474,1178
zo,0,0.008,0,0.0105,0.968,1623
kro,0,0.0093,0,0.0099,0.9617,1827
za,0.003695483,0.003496145,0,0.015180432,0.948800604,5136
cav,0.0131,0.0046,0.0268,0.0151,0.9297,17137
zy,0,0,0,0,0.9764,509
zu,0,0,0.0063,0.0149,0.962,3818
ter,0,0.0059,0,0.0246,0.9448,852
tes,0,0,0,0.0439,0.9406,775
abb,0.0069,0.0049,0.0456,0.018,0.91,51620
nei,0,0,0,0.0086,0.9914,701
sun,0,0.0088,0.0105,0,0.9582,1244
kus,0.002416458,0.004932012,0.004951831,0.01333688,0.968126542,6307
kun,0,0,0,0.0247,0.9474,608
kuh,0,0.0106,0,0.0106,0.9682,472
new,0.0192,0.0077,0,0,0.9462,780
kue,0,0,0,0,0.9835,423
dem,0,0,0,0.0147,0.9798,545
mea,0.003107123,0.003107123,0.032403871,0.014419105,0.933187128,11133
flo,0,0,0,0.0182,0.9727,440
lei,0,0.004791567,0.002990132,0.008394079,0.965902213,1672
ozm,0.009,0,0,0.009,0.9557,1446
mei,0,0.004523509,0,0.012985335,0.972010964,3539
meh,0,0,0.0032,0.0108,0.9728,1580
met,0,0,0,0,0.9831,413
ler,0.0167,0,0,0.0167,0.9499,419
les,0.0037,0.0026,0.0037,0.0144,0.9643,5348
mes,0,0.0072,0.0333,0,0.9406,690
lew,0,0,0,0.0536,0.9371,429
yan,0.0105,0,0,0.0346,0.9353,665
boy,0.007582803,0.005497532,0.054317755,0.012351234,0.906566321,11467
bor,0,0,0,0,0.99,732
gle,0,0.0065,0,0.0086,0.9731,1857
bow,0,0,0,0.0144,0.9779,1043
boa,0.0051,0.0062,0.0057,0.0098,0.9629,5928
bod,0,0,0,0.0227,0.9545,484
boe,0.002334343,0.006380539,0.001711852,0.008092391,0.968727677,2970
wie,0,0.002783626,0.001847645,0.007367775,0.974760819,3249
wid,0.0099,0,0,0.0119,0.9533,1007
voe,0,0,0,0,0.9704,540
wim,0.0097,0,0,0.0116,0.9653,518
wil,0,0,0,0.011,0.9697,726
jas,0,0,0,0.0187,0.9743,428
bro,0.004598811,0.00218632,0.055034952,0.010918293,0.915305486,6981
apo,0.0007,0.0026,0.0145,0.901,0.0765,12905
bre,0,0.004613245,0.049171544,0.009239098,0.921345171,1729
lor,0,0.020063771,0.021012649,0.030583198,0.910273795,2095
cha,0.00218375,0.003164298,0.033264783,0.02108974,0.927484453,4123
fec,0,0,0,0.01,0.976,499
von,0,0.0087,0,0.0365,0.9497,576
pfa,0.0059,0.0038,0.0025,0.011,0.9686,6282
fei,0,0,0,0.009,0.978,1000
me,0.001888085,0.003580247,0.041306364,0.012857742,0.92626891,18321
kle,0,0.002519167,0,0.030840704,0.954439698,2786
kla,0,0.006,0.0338,0.0097,0.9469,828
car,0.033080888,0,0.012385227,0.016511467,0.917330888,968
kli,0.002118311,0.00556004,0.002444786,0.013937613,0.967074342,16061
swi,0,0,0.0195,0,0.9459,462
klu,0.003569053,0,0.038985203,0.006772076,0.9335786,2514
del,0,0.002647361,0,0.944392867,0.048089016,4907
deb,0,0.003764189,0.005245796,0.022504655,0.945224249,1332
dec,0,0,0,0.0224,0.96,625
deg,0,0.0071,0,0.0273,0.9512,841
ger,0,0.0051,0.0061,0.0143,0.9559,976
spr,0.007491668,0.004536809,0.039062458,0.019230938,0.917354943,27545
