Prefix,Ethnicity
abdel,Arabic
abdul,Arabic
ap,Welsh
al,Arabic
bar,Hebrew
bath,Hebrew
bath,Hebrew
ben,Arabic
bin,Arabic
ibn,Arabic
bet,Arabic
bint,Arabic
da,Italian
das,Portuguese
de,Italian
degli,Italian
della,Italian
der,Armenian
di,Italian
dos,Portuguese
du,French
el,Arabic
fitz,Irish
kil,Irish
gil,Irish
la,Italian
le,French
mac,Irish
mc,Irish
mhic,Irish
mic,Irish
mala,Kurdish
na,Thai
naka,Japanese
neder,Swedish
nin,Serbian
nord,German
ny,Swedish
pour,Persian
stor,Swedish
ter,Dutch 
ter,Armenian
van,Dutch 
vest,Danish
von,German
abu,Arabic
