suff,amInd,asian,black,hispanic,white,occurences
nwu,0.0,0.0,0.9422,0.0099,0.0083,606
alk,0.00325143063394,0.0160898444678,0.0471037767424,0.0152779662685,0.905571036225,30476
aub,0.00195739669637,0.00387855244646,0.0037961752905,0.0115766062217,0.968722033766,38382
aue,0.0,0.00369865361077,0.0,0.0152653610771,0.963901101591,1634
aug,0.006,0.0097,0.0021,0.013,0.96,4844
auf,0.000807981663745,0.0389621275448,0.00741801267359,0.00863816907105,0.921400296616,7417
auh,0.0,0.0065,0.0,0.0087,0.966,1381
auk,0.00304451636102,0.0145834951456,0.00719838187702,0.0117156778137,0.951096332255,5562
aum,0.00128332037929,0.00479663609513,0.00611285092492,0.016309085963,0.95845455464,64330
aun,0.00348281509074,0.00754567878802,0.00677741613101,0.0165882004225,0.954284711654,44027
aup,0.00169776271186,0.0111694915254,0.0,0.00339552542373,0.969144338983,2950
aus,0.00287687177314,0.00530494797797,0.00779772138788,0.0266687899189,0.945203954616,63723
aut,0.00216410070639,0.00762162651694,0.0545280565115,0.0130512950552,0.908159735555,5521
auw,0.0074,0.0,0.0,0.0089,0.9675,677
xto,0.0,0.0407,0.0,0.9159,0.0314,2579
auz,0.0,0.0,0.0111,0.919,0.0575,1531
alb,0.001926268465,0.0108876043674,0.00318253050739,0.0151299935774,0.95956987797,3114
fut,0.0,0.0,0.0,0.0,0.9918,486
fur,0.0158,0.0,0.0113,0.0475,0.9208,442
zdz,0.0,0.0,0.0,0.0,0.9981,522
upa,0.00193087849952,0.010488484347,0.0,0.0190226727348,0.950239304923,7251
upy,0.0,0.0124,0.0,0.0186,0.9588,485
upt,0.00172430317848,0.00564484107579,0.00537965770171,0.00871149144254,0.968561124694,8180
upu,0.0124,0.0,0.0,0.0297,0.9059,404
zda,0.0,0.0,0.0,0.0169,0.9755,1062
upp,0.0036958231699,0.00366583166607,0.00348953325842,0.0115123660482,0.966648567983,36487
rll,0.0,0.0,0.0154216383308,0.0201085007728,0.934284698609,1294
ucy,0.00296671770754,0.00523308542054,0.0512885267418,0.0128248277371,0.915467439571,9143
orz,0.0,0.0074,0.0,0.0159,0.9498,816
nen,0.00371297098758,0.0151812224011,0.0349356609302,0.0129935372044,0.915522535182,48462
nek,0.000925187708795,0.00218196010981,0.000660020507393,0.0126025766546,0.970763959911,30233
ned,0.00497232505643,0.00249819413093,0.00112611738149,0.0162804740406,0.960031038375,4430
nee,0.00736267264574,0.00339867264574,0.00485094170404,0.0143402690583,0.955523838565,5575
kus,0.0020422877118,0.00450456377142,0.0345849881051,0.0162560664174,0.928371622081,20597
nec,0.0,0.0,0.0,0.0530604698258,0.932331713244,2469
kun,0.0,0.011,0.014,0.011,0.9521,1002
gna,0.00105189037073,0.00475779395571,0.00215323014805,0.024915202496,0.954817282516,16346
nez,0.00523495393647,0.00910507999331,0.0049929311456,0.91739108342,0.0582880134718,1118781
mee,0.000732675309369,0.00439605185622,0.0275502799057,0.0125009575722,0.943294107248,6788
mea,0.0,0.0,0.0,0.9248,0.0664,1582
kel,0.00257484793244,0.0031776707156,0.0132650588739,0.0127145408211,0.954071403858,107518
mel,0.00280554567786,0.00412622762896,0.0164013440168,0.0152909135571,0.946155040356,85490
mek,0.000509433962264,0.00547471863621,0.00114912280702,0.0130607828534,0.964916443231,12084
met,0.00120704709522,0.0118794431076,0.0,0.0151196287384,0.950169009969,5818
mez,0.00347206445129,0.0100283219587,0.00748664347755,0.914113324378,0.0595895523802,295541
wda,0.0,0.0,0.0,0.0233,0.9464,429
aky,0.0,0.0079,0.0,0.0301,0.9572,631
gly,0.00566721683642,0.00396502638361,0.0133134617745,0.00885239906737,0.957393839735,16298
wds,0.0,0.0,0.0342,0.0196,0.9169,409
bri,0.0,0.0,0.00297886567164,0.0453459701493,0.936094208955,1675
bt,0.0,0.0,0.0,0.0284,0.9563,1305
tzy,0.0,0.00245971329708,0.0,0.0113979238754,0.974758774098,2023
dny,0.0,0.0,0.0,0.0,0.975892130115,953
nka,0.00148518910902,0.00403210085814,0.00307570717237,0.0112174276936,0.962809365399,9439
nke,0.00284093674959,0.00480547408668,0.00184903713893,0.0123193959387,0.966936524608,85786
nki,0.0,0.9323,0.0,0.0,0.0193,827
nkl,0.0,0.0104,0.0207,0.0186,0.942,483
nko,0.00110510362579,0.00407741978432,0.0042541472507,0.0214053920916,0.947543740292,22533
tza,0.0,0.0,0.0,0.0493,0.9366,426
err,0.0039291742326,0.0131416638873,0.037711144463,0.0153102266691,0.916021499599,80955
mm,0.00365961845857,0.00790637696293,0.0343590433351,0.0143333290494,0.927024095747,124495
ml,0.0,0.0,0.0,0.0,0.9867,600
erz,0.00433917050691,0.00634384657089,0.00258134995934,0.0453937516942,0.929831024668,7378
erf,0.0,0.00447966573816,0.0,0.0189306406685,0.963799721448,1795
erg,0.00213891582347,0.00490949585865,0.00554092617128,0.0149645847674,0.959525036578,405303
erl,0.000804402006797,0.00081071370772,0.0140797540055,0.00924162485839,0.956933241625,6179
ern,0.00288603381573,0.0199440478579,0.0410614930506,0.0161629388164,0.905803317811,139580
mz,0.0,0.0,0.0,0.00566027088036,0.983073137698,886
uay,0.00629017884207,0.00431686117005,0.0494086086693,0.0125016368597,0.912250848742,13196
uax,0.0254,0.0057,0.0026,0.0142,0.9404,5755
czy,0.0,0.0,0.0,0.0138,0.9677,651
yga,0.0,0.0084,0.0,0.0184,0.9648,597
